charaID,charaFileID,favorability,randomCode
333,ETL,100,FDLN
334,E9Z,100,TYVH
334,E9Z,040,KEBL
335,E3P,040,DBJF
335,E3P,100,JGYE
336,E4I,,
337,EGF,100,RVBA
338,E73,100,JNBF
339,ER5,,
340,EXY,100,EZAT
341,EI7,,
342,E0L,100,VALU
343,EX3,100,XKHG
344,EL1,,
345,EYS,100,XMJB
346,EPE,,
347,EN7,,
348,E2N,100,GKCH
348,E2N,040,QHUB
349,E8J,,
350,EVK,100,MFLD
351,EG1,,
352,EK0,,
353,E57,100,PTKL
354,E6H,100,ANSL
355,EP5,,
356,EKQ,100,AZQY
357,E6Q,100,EWBL
358,EX8,100,UHQJ
361,ET5,100,GBKZ
362,E66,,
363,EX8,,
364,E18,100,WTEH
365,EFJ,,
366,E1T,100,AUVD
367,EYK,100,FQXE
368,E63,100,JKZS
369,E39,,
370,EY2,100,EDKA
371,E06,,
372,EYW,100,XWRD
372,EYW,040,XWQF
373,E7H,,
374,E71,100,JUNE
375,E9I,100,FJKE
376,EQ9,,
377,EPK,100,QWRJ
378,EFX,100,REHL
379,E2T,,
380,E9N,100,EAYN
381,EKT,,
382,EM7,040,WEYL
382,EM7,100,FJKM
383,ERL,,
384,EO4,,
385,E52,,
386,EWC,040,BYRL
386,EWC,100,GJRQ
387,E0D,100,TSHP
388,EU8,,
389,EV3,100,UZDW
390,E66,100,FZSX
391,EKX,,
392,EG4,,
393,E3I,100,ZPGA
394,E4O,040,UWHM
394,E4O,100,WZQU
395,EBP,,
396,ES7,040,JLAC
396,ES7,100,ZNFL
397,E95,040,MSBW
397,E95,100,KTGB
398,ETL,100,YELH
399,E0J,,
400,E13,,
401,ENX,040,DEWX
401,ENX,100,EGCW
402,E7V,100,PGLV
402,E7V,040,NBUG
403,E20,040,XPHM
403,E20,100,EBLK
404,E5N,040,ZRTN
404,E5N,100,NKXA
405,EEP,,
406,ET3,,
407,E4D,100,VXMK
408,E96,,
409,EB5,,
410,ERZ,040,JUAR
410,ERZ,100,UZGE
411,EXX,,
412,EOR,100,VUJF
413,E36,100,LXBA
413,E36,040,UNCB
